user_id,event,timestamp,source,device
1,page_view,2024-03-12 00:00:00,paid,tablet
1,signup,2024-03-12 01:43:00,paid,tablet
2,page_view,2024-01-24 00:00:00,organic,mobile
2,signup,2024-01-24 00:53:00,organic,mobile
3,page_view,2024-03-04 00:00:00,email,desktop
4,page_view,2024-03-29 00:00:00,social,mobile
4,signup,2024-03-29 00:59:00,social,mobile
5,page_view,2024-01-15 00:00:00,organic,tablet
5,signup,2024-01-15 00:47:00,organic,tablet
6,page_view,2024-01-03 00:00:00,paid,tablet
7,page_view,2024-01-18 00:00:00,social,mobile
8,page_view,2024-01-09 00:00:00,direct,mobile
8,signup,2024-01-09 00:02:00,direct,mobile
9,page_view,2024-01-08 00:00:00,paid,desktop
9,signup,2024-01-08 01:18:00,paid,desktop
9,first_purchase,2024-01-10 03:18:00,paid,desktop
10,page_view,2024-01-04 00:00:00,organic,mobile
10,signup,2024-01-04 01:03:00,organic,mobile
11,page_view,2024-01-14 00:00:00,paid,desktop
11,signup,2024-01-14 00:15:00,paid,desktop
11,first_purchase,2024-01-16 14:15:00,paid,desktop
12,page_view,2024-02-22 00:00:00,paid,desktop
12,signup,2024-02-22 01:29:00,paid,desktop
12,first_purchase,2024-02-23 18:29:00,paid,desktop
12,repeat_purchase,2024-03-07 18:29:00,paid,desktop
12,repeat_purchase,2024-03-22 18:29:00,paid,desktop
12,repeat_purchase,2024-03-29 18:29:00,paid,desktop
12,repeat_purchase,2024-04-16 18:29:00,paid,desktop
13,page_view,2024-03-21 00:00:00,organic,desktop
14,page_view,2024-02-10 00:00:00,social,mobile
15,page_view,2024-02-02 00:00:00,email,desktop
15,signup,2024-02-02 00:23:00,email,desktop
16,page_view,2024-03-26 00:00:00,social,mobile
17,page_view,2024-03-18 00:00:00,paid,desktop
18,page_view,2024-01-14 00:00:00,social,desktop
18,signup,2024-01-14 00:09:00,social,desktop
19,page_view,2024-02-20 00:00:00,organic,desktop
19,signup,2024-02-20 01:43:00,organic,desktop
20,page_view,2024-01-23 00:00:00,paid,mobile
20,signup,2024-01-23 00:15:00,paid,mobile
21,page_view,2024-02-28 00:00:00,organic,desktop
21,signup,2024-02-28 00:28:00,organic,desktop
22,page_view,2024-01-06 00:00:00,email,mobile
22,signup,2024-01-06 01:48:00,email,mobile
22,first_purchase,2024-01-07 07:48:00,email,mobile
23,page_view,2024-03-29 00:00:00,organic,desktop
23,signup,2024-03-29 01:37:00,organic,desktop
23,first_purchase,2024-03-30 04:37:00,organic,desktop
24,page_view,2024-03-10 00:00:00,email,tablet
24,signup,2024-03-10 00:09:00,email,tablet
25,page_view,2024-01-24 00:00:00,social,desktop
26,page_view,2024-02-21 00:00:00,organic,mobile
26,signup,2024-02-21 01:53:00,organic,mobile
26,first_purchase,2024-02-21 13:53:00,organic,mobile
26,repeat_purchase,2024-02-23 13:53:00,organic,mobile
27,page_view,2024-02-28 00:00:00,organic,tablet
27,signup,2024-02-28 00:02:00,organic,tablet
28,page_view,2024-01-01 00:00:00,organic,desktop
28,signup,2024-01-01 00:02:00,organic,desktop
29,page_view,2024-03-08 00:00:00,paid,mobile
29,signup,2024-03-08 00:56:00,paid,mobile
29,first_purchase,2024-03-09 14:56:00,paid,mobile
30,page_view,2024-01-11 00:00:00,social,mobile
31,page_view,2024-02-28 00:00:00,social,desktop
31,signup,2024-02-28 01:33:00,social,desktop
32,page_view,2024-03-30 00:00:00,organic,desktop
32,signup,2024-03-30 00:19:00,organic,desktop
32,first_purchase,2024-04-01 23:19:00,organic,desktop
32,repeat_purchase,2024-04-02 23:19:00,organic,desktop
33,page_view,2024-01-11 00:00:00,paid,mobile
33,signup,2024-01-11 01:29:00,paid,mobile
33,first_purchase,2024-01-12 08:29:00,paid,mobile
34,page_view,2024-03-30 00:00:00,organic,mobile
35,page_view,2024-01-01 00:00:00,paid,desktop
35,signup,2024-01-01 00:12:00,paid,desktop
36,page_view,2024-01-19 00:00:00,email,desktop
36,signup,2024-01-19 00:03:00,email,desktop
37,page_view,2024-03-15 00:00:00,paid,tablet
38,page_view,2024-03-29 00:00:00,social,mobile
39,page_view,2024-03-22 00:00:00,organic,desktop
39,signup,2024-03-22 00:35:00,organic,desktop
40,page_view,2024-02-02 00:00:00,organic,mobile
40,signup,2024-02-02 00:48:00,organic,mobile
41,page_view,2024-01-17 00:00:00,social,mobile
41,signup,2024-01-17 00:48:00,social,mobile
41,first_purchase,2024-01-17 22:48:00,social,mobile
41,repeat_purchase,2024-01-23 22:48:00,social,mobile
42,page_view,2024-01-27 00:00:00,paid,tablet
43,page_view,2024-03-04 00:00:00,paid,mobile
44,page_view,2024-01-04 00:00:00,organic,mobile
44,signup,2024-01-04 00:49:00,organic,mobile
44,first_purchase,2024-01-05 20:49:00,organic,mobile
45,page_view,2024-02-06 00:00:00,direct,tablet
46,page_view,2024-02-29 00:00:00,paid,tablet
47,page_view,2024-03-27 00:00:00,organic,desktop
47,signup,2024-03-27 01:07:00,organic,desktop
47,first_purchase,2024-03-28 02:07:00,organic,desktop
48,page_view,2024-02-15 00:00:00,email,tablet
48,signup,2024-02-15 00:32:00,email,tablet
